state,perrep,perdem,perind,permultiracial,perwhite,perblack,perindig,perasian,perpacific,perother,perlatinx,popcit18plus,percit18plusmale,percit18plusfem,medage,perhsplus,perugplus,unemp,medhhincome,per2034,per3554,per5564,per65plus,singledadfam,singlemomfam,vets,bornstateres,forborncit,noneng,spanish,nonengsp,nonsplang,splang,forlang,meanhhincome,perfoodstamp,percapitainc,medearngap,perhealthins,perbelowpov,minblack,minlatinx,minother,femdomcit18plus,femdom,gunbckcheck,evangelical_pop,vepvotingrate,wideo,citi6013,w_gayrights_employment_discrimit,giexorder,gilaw,giexorder_law,soexorder,solaw,soexorder_law,guncontrol_assaultweapon_ban,guncontrol_opencarry,labor_minwage_abovefed,regulation_physician_suicide,earned_income_taxcredit,x_tax_rate_rich,x_top_corporateincometaxrate,genderrights_era_ratification,genderrights_state_eras,genrights_genddiscrim_post1964,statemin,employ_pop,pctwomenearn,death_penalty,w_ec_access,abortion_consent_1992_2014,w_abortion_parental_notice_1983_,abortion_medicaid
Hawaii,28,51,20,24.5,44.3,3.7,2.9,55.7,25.9,1.8,10.4,1022704,51.4,48.6,37.7,90.9,31.4,4.9,73486,22.4,24.6,12.6,16.5,5.6,11.7,10,53,57.8,26.1,2.4,23.7,1,0,1,92496,11.5,31052,7640,96,10.6,0,0,1,0,0,12223,14.7,0.44,-0.148804083,78.2971,2,0,1,1,0,1,1,1,0,0,0,0,11,6.4,1,1,1,7.25,0.78992125,78.03,1,2,0,0,1
Idaho,49,32,19,2.9,94.3,1,2.5,2.3,0.5,2.7,12.1,1168843,49.4,50.6,35.8,90,26,5.4,48275,19.8,24.4,12.2,14.7,3.9,9.4,9.8,48,38.1,10.2,7.6,2.6,0,1,2,63921,11.5,24273,11456,89,15.1,0,1,0,1,0,100126,14,0.70,-0.156868666,24.31598,2,,1,1,,1,1,0,1,0,0,1,6.47,12,1,1,1,7.25,0.862382,78.54,1,1,0,1,0
Illinois,33,48,19,2.3,73.8,15.3,0.7,6,0.1,6.5,16.9,9017653,48.2,51.8,37.7,88.6,32.9,6.9,59588,20.8,26.6,12.8,14.2,4.5,12.5,6.1,67.2,48.2,23,13.5,9.5,0,1,2,82699,13.5,31867,10834,92.9,13.6,0,1,0,1,1,91375,39,0.60,-0.15750809,51.97337,0,0,0,0,0,0,0,0,1,0,0,0,7.4,7.4,0,0,1,7.25,0.79244675,77.73,0,0,1,2,0
Indiana,42,37,20,2.4,86.2,10.5,0.8,2.5,0.1,2.4,6.6,4856797,48.4,51.6,37.5,88.2,24.9,5.8,50532,20,25.7,12.9,14.6,4.7,12,7.7,68.4,38.3,8.4,4.6,3.8,0,1,2,67065,11.5,26396,11339,90.4,14.5,1,0,0,1,1,753982,13.3,0.59,-0.277266622,40.55516,2,0,1,1,1,1,1,0,1,1,0,1,5,9.5,0,0,1,8.25,0.7866635,75.97,1,0,0,1,1
Iowa,41,40,19,1.9,92.3,4.4,0.7,2.7,0.2,1.7,5.6,2310467,49,51,38.1,91.7,26.8,4.2,54736,19.7,24.6,13.2,16,4.3,9.2,8.2,71.1,37.4,7.7,4,3.7,0,1,2,70036,11.3,28628,11034,95,12.2,0,1,0,1,1,317477,19.700001,0.55,-0.093941942,44.69056,0,1,0,1,1,0,1,0,1,0,0,1,3.4,7,1,0,1,7.25,0.78448125,82.1,0,1,1,1,0
Kansas,46,31,23,3.2,87.6,7.4,2.1,3.4,0.2,2.6,11.6,2074102,49.1,50.9,36.2,90.3,31.7,4.7,53906,20.6,24.3,12.6,14.7,4.5,9.9,8.5,58.6,37.5,11.8,7.7,4.1,0,1,2,73069,8.5,28852,11193,90.9,13,0,1,0,1,1,134128,19.299999,0.57,-0.417400271,34.2966,0,1,0,1,1,0,1,0,1,0,0,1,6.45,4,1,0,1,7.25,0.81632675,78.91,0,0,1,2,0
Kentucky,44,43,13,2.1,89.3,9.3,0.8,1.7,0.1,1,3.3,3329835,48.4,51.6,38.8,85.1,23.3,6.5,45215,19.5,26.3,13.3,15.2,5,12.7,8.3,69.6,37,5.3,2.6,2.7,1,0,1,62596,16.5,25082,7743,94,18.5,1,0,0,1,1,1.90E+06,34.099998,0.55,-0.361260802,41.27558,0,1,0,1,1,0,1,0,1,0,0,0,6.18,6,1,0,1,7.25,0.71584175,82.06,0,1,1,2,0
Louisiana,41,43,16,2.1,64.3,33.3,1.3,2,0.1,1.3,4.9,3454978,48,52,36.4,84.6,23.2,7.1,45727,21.5,25.2,12.8,14,4.9,15.9,7.3,78.3,40.9,8.2,3.5,4.7,1,0,1,64895,14.9,25456,15898,88.1,19.6,1,0,0,1,1,198907,24.1,0.60,-0.489667147,42.16489,0,0,0,0,0,0,0,0,1,0,0,1,3.75,8,0,1,1,7.25,0.7413355,68.68,0,1,1,2,0
Maine,36,47,17,2.3,96.8,1.7,1.9,1.5,0.1,0.3,1.5,1056410,48.4,51.6,44.6,91.7,30.1,5.4,51494,17.3,26.3,15.8,18.8,4.6,9.8,10,64.1,57.2,6.1,0.8,5.3,1,0,1,67135,15.8,28437,10093,91.6,13.4,0,0,1,1,1,144974,3.8,0.66,0.062722385,74.19726,2,1,1,1,1,1,1,1,0,1,0,1,5.25,8,1,1,1,8,0.80195975,80,1,2,1,2,1
Maryland,31,55,14,3.1,59,31.4,1,7.3,0.2,4.5,9.5,4239987,47.4,52.6,38.3,89.6,38.8,5.5,75847,20.6,27.3,13,14.2,5,14,8,47.2,49.1,18.5,7.9,10.6,1,0,1,99957,11.2,37522,9956,93.4,9.7,1,0,0,1,1,88744,12.8,0.66,-0.076701492,60.80084,2,1,0,1,1,1,1,1,0,0,0,1,5.75,8.25,1,1,1,7.25,0.8038795,84.63,1,1,0,1,1
Massachusetts,27,56,17,2.9,81.6,8.9,0.7,7.1,0.1,4.6,11.2,4924459,47.6,52.4,39.4,90.2,41.5,5.8,70628,21.2,26.7,13.3,15.4,4.1,12.5,6.1,61.6,52.3,23,8.6,14.4,1,0,1,97586,12.2,38130,10418,97.2,11.5,0,1,0,1,1,60576,5.1999998,0.68,0.020601917,79.29929,2,0,1,1,1,1,1,0,1,1,0,1,8.5,8.93,1,0,1,7.5,0.77724575,80.62,1,2,0,2,0
Michigan,34,47,19,2.7,81.1,15.3,1.5,3.5,0.1,1.5,4.9,7436478,48.5,51.5,39.7,90.1,27.8,7.2,51084,19.5,25.7,14,15.9,4.7,12.3,7.5,76.6,52.5,9.5,2.9,6.6,1,0,1,69492,15,27865,12993,93.9,15.8,1,0,0,1,1,288247,13.3,0.65,-0.113485329,53.58814,0,1,0,1,1,0,1,0,1,1,0,1,4.33,6,1,0,1,8.15,0.754376,79.01,1,1,1,2,0
Minnesota,39,46,15,2.8,86.6,7,1.9,5.6,0.1,1.8,5.1,4007159,49.1,50.9,37.9,92.8,34.7,4.2,63488,20.2,25.9,13.3,14.6,4.4,9.2,7.7,67.7,49.2,11.5,3.8,7.7,1,0,1,83488,8.7,33425,9842,95.5,10.2,1,0,0,1,1,301597,14.6,0.76,-0.132878497,51.13846,2,0,1,1,1,1,1,0,1,0,0,1,7.85,9.8,1,0,1,8,0.853786,80.67,1,1,1,1,1
Mississippi,44,42,14,1.2,59.8,38.5,0.7,1.2,0.1,1,2.9,2220616,47.5,52.5,37,83.5,20.8,8.9,40593,19.7,25.5,12.6,14.8,5.1,18.2,7.3,71.5,33.4,3.9,2.4,1.5,0,1,2,55495,18.2,21291,9982,87.3,22,1,0,0,1,1,332332,26.5,0.63,-0.330534399,46.6365,0,0,0,0,1,0,1,0,1,0,0,0,5.9,6.25,0,0,1,7.5,0.80585775,81.28,0,1,1,2,0
